Power Consumed,StdNormalQuantiles,Confidence_Interval_L,Confidence_Interval_U
9.51E-07,1.042888,0.9873586,1.098669
9.51E-07,1.04145,0.9859526,1.097198
9.51E-07,1.040014,0.9845485,1.095729
9.52E-07,1.03858,0.9831465,1.094262
9.52E-07,1.037148,0.9817465,1.092798
9.52E-07,1.035719,0.9803486,1.091336
9.53E-07,1.034291,0.9789526,1.089876
9.53E-07,1.032866,0.9775586,1.088418
9.53E-07,1.031443,0.9761666,1.086963
9.53E-07,1.030021,0.9747765,1.085509
9.53E-07,1.028602,0.9733885,1.084058
9.53E-07,1.027185,0.9720024,1.082609
9.53E-07,1.02577,0.9706183,1.081162
9.53E-07,1.024357,0.969236,1.079718
9.54E-07,1.022946,0.9678558,1.078275
9.54E-07,1.021537,0.9664774,1.076835
9.54E-07,1.02013,0.965101,1.075397
9.54E-07,1.018725,0.9637265,1.073961
9.54E-07,1.017323,0.9623539,1.072527
9.54E-07,1.015922,0.9609831,1.071095
9.54E-07,1.014523,0.9596143,1.069665
9.54E-07,1.013126,0.9582474,1.068238
9.54E-07,1.011731,0.9568823,1.066812
9.54E-07,1.010338,0.9555191,1.065389
9.54E-07,1.008947,0.9541577,1.063967
9.54E-07,1.007558,0.9527981,1.062548
9.54E-07,1.006171,0.9514405,1.061131
9.54E-07,1.004786,0.9500846,1.059715
9.54E-07,1.003403,0.9487306,1.058302
9.54E-07,1.002021,0.9473784,1.056891
9.54E-07,1.000642,0.946028,1.055482
9.54E-07,0.9992643,0.9446794,1.054074
9.55E-07,0.9978887,0.9433326,1.052669
9.55E-07,0.996515,0.9419876,1.051266
9.55E-07,0.9951431,0.9406444,1.049865
9.55E-07,0.9937731,0.9393029,1.048466
9.55E-07,0.992405,0.9379632,1.047068
9.55E-07,0.9910387,0.9366253,1.045673
9.56E-07,0.9896743,0.9352891,1.044279
9.56E-07,0.9883117,0.9339547,1.042888
9.56E-07,0.986951,0.932622,1.041498
9.56E-07,0.9855921,0.931291,1.040111
9.56E-07,0.984235,0.9299618,1.038725
9.56E-07,0.9828797,0.9286343,1.037341
9.56E-07,0.9815262,0.9273085,1.035959
9.56E-07,0.9801745,0.9259844,1.034579
9.56E-07,0.9788246,0.924662,1.033201
9.56E-07,0.9774764,0.9233412,1.031825
9.56E-07,0.9761301,0.9220222,1.030451
9.56E-07,0.9747855,0.9207048,1.029078
9.56E-07,0.9734427,0.9193892,1.027707
9.56E-07,0.9721016,0.9180751,1.026339
9.57E-07,0.9707623,0.9167628,1.024972
9.57E-07,0.9694247,0.9154521,1.023606
9.57E-07,0.9680888,0.914143,1.022243
9.57E-07,0.9667547,0.9128356,1.020882
9.57E-07,0.9654223,0.9115297,1.019522
9.57E-07,0.9640916,0.9102256,1.018164
9.57E-07,0.9627626,0.908923,1.016808
9.58E-07,0.9614353,0.907622,1.015454
9.58E-07,0.9601097,0.9063227,1.014101
9.58E-07,0.9587858,0.905025,1.01275
9.58E-07,0.9574636,0.9037288,1.011401
9.58E-07,0.956143,0.9024342,1.010054
9.58E-07,0.9548241,0.9011412,1.008708
9.58E-07,0.9535068,0.8998498,1.007365
9.58E-07,0.9521912,0.89856,1.006023
9.58E-07,0.9508773,0.8972717,1.004682
9.58E-07,0.949565,0.895985,1.003344
9.58E-07,0.9482543,0.8946999,1.002007
9.58E-07,0.9469453,0.8934162,1.000672
9.58E-07,0.9456378,0.8921342,0.9993385
